Name,Type,isCarrier,PAK,MGRS,DD,DM,DMS,Altitude(Feet)
EMAL,NAVAL,false,2,40R BN 664 421,24.7756 54.6896,24°46.5342'N 54°41.3775'E,24°46'32.05"N 54°41'22.65"E,6.56167979
Fin,SAMSITE,false,9,40R CR 916 563,27.6262 55.9012,27°37.5729'N 55°54.0694'E,27°37'34.37"N 55°54'04.16"E,1013.7795275550001
Falara,NAVAL,false,3,40R DN 459 374,24.7504 56.4650,24°45.0246'N 56°27.8991'E,24°45'01.48"N 56°27'53.95"E,9.842519685000001
Fasa,ROADBASE,false,10,39R YN 547 031,28.9304 53.6131,28°55.8229'N 53°36.7840'E,28°55'49.37"N 53°36'47.04"E,4566.92913384
Fujairah,AIRBASE,false,3,40R DN 330 772,25.1092 56.3354,25°06.55040'N 56°20.1254'E,25°06'33.02"N 56°20'07.52"E,85.30183727000001
Gagarin,ARMYBASE,false,8,39R YK 619 530,26.6737 53.6313,26°40.4232'N 53°37.8788'E,26°40'25.39"N 53°37'52.73"E,59.05511811
Gerash,ARMYBASE,false,10,40R BR 192 626,27.6585 54.1537,27°39.5128'N 54°09.22262'E,27°39'30.77"N 54°09'13.36"E,2975.721784765
Hatta,FARP,false,3,40R DN 128 420,24.7903 56.1374,24°47.4173'N 56°08.24145'E,24°47'25.04"N 56°08'14.49"E,1108.92388451
Havadarya,AIRBASE,false,7,40R DR 181 041,27.1570 56.1732,27°09.41998'N 56°10.3947'E,27°09'25.2"N 56°10'23.68"E,32.808398950000004
Jahrom,ARMYBASE,false,10,39R YM 550 559,28.5048 53.6053,28°30.2859'N 53°36.3164'E,28°30'17.15"N 53°36'18.98"E,3503.93700786
Jazireh-ye Farur,NAVAL,false,5,40R BQ 517 061,26.2534 54.5137,26°15.2039'N 54°30.8203'E,26°15'12.24"N 54°30'49.22"E,36.089238845000004
Jenah,FARP,false,8,40R BQ 324 905,27.0110 54.3033,27°00.659017'N 54°18.1981'E,27°00'39.54"N 54°18'11.88"E,1089.23884514
Jiroft,AIRBASE,false,11,40R ES 661 776,28.7240 57.6770,28°43.4401'N 57°40.6180'E,28°43'26.4"N 57°40'37.08"E,2664.04199474
Jiroft Supply,ARMYBASE,false,11,40R ET 429 276,29.1761 57.4411,29°10.5680'N 57°26.4664'E,29°10'34.08"N 57°26'27.99"E,8559.711286055
Juyom,FARP,false,10,39R YM 917 308,28.2706 53.9730,28°16.2365'N 53°58.3793'E,28°16'14.19"N 53°58'22.76"E,2910.1049868650002
Kerman,AIRBASE,false,11,40R DU 958 492,30.2744 56.9565,30°16.4654'N 56°57.3911'E,30°16'27.92"N 56°57'23.47"E,5744.750656145
Khar Zahreh,FARP,false,10,39R XN 921 396,29.2705 52.9777,29°16.2293'N 52°58.6622'E,29°16'13.76"N 52°58'39.73"E,4816.27296586
Kharman Kuh,ARMYBASE,false,10,39R YN 287 327,29.2028 53.3521,29°12.1679'N 53°21.1276'E,29°12'10.08"N 53°21'07.66"E,5944.881889740001
Khasab,AIRBASE,false,4,40R DP 242 946,26.1690 56.2420,26°10.1410'N 56°14.5170'E,26°10'08.46"N 56°14'31.02"E,72.17847769000001
Khund,FARP,false,9,40R CR 022 480,27.5416 54.9969,27°32.4960'N 54°59.8144'E,27°32'29.76"N 54°59'48.86"E,1692.91338582
Kish,AIRBASE,false,8,39R YK 969 372,26.5246 53.9788,26°31.4744'N 53°58.7303'E,26°31'28.46"N 53°58'43.82"E,91.86351706
Kuh,ROADBASE,false,6,40R EP 319 560,25.8221 57.3186,25°49.3279'N 57°19.1182'E,25°49'19.67"N 57°19'07.09"E,26.24671916
Lar,AIRBASE,false,10,40R BR 422 641,27.6769 54.3865,27°40.6121'N 54°23.1877'E,27°40'36.73"N 54°23'11.26"E,2631.23359579
Lavan,AIRBASE,false,8,39R YK 339 681,26.8150 53.3537,26°48.8994'N 53°21.2221'E,26°48'53.96"N 53°21'13.33"E,39.370078740000004
Lemazan,ROADBASE,false,8,40R BQ 925 938,27.0513 54.9077,27°03.08069'N 54°54.4596'E,27°03'04.84"N 54°54'27.58"E,616.79790026
Liwa,AIRBASE,false,1,39Q YG 877 182,23.6488 53.8205,23°38.9283'N 53°49.2306'E,23°38'55.7"N 53°49'13.84"E,400.26246719
Maharqah,ROADBASE,false,1,40Q BM 380 332,23.7883 54.4287,23°47.2968'N 54°25.7219'E,23°47'17.81"N 54°25'43.31"E,321.52230971
Murbah,ROADBASE,false,3,40R DN 364 974,25.2914 56.3686,25°17.4839'N 56°22.1179'E,25°17'29.03"N 56°22'07.07"E,16.404199475000002
Muredan,FARP,false,11,40R ES 224 383,28.3707 57.2289,28°22.2413'N 57°13.7360'E,28°22'14.48"N 57°13'44.16"E,4881.88976376
Nahel,SAMSITE,false,2,40R CN 590 256,24.6379 55.6073,24°38.2746'N 55°36.4353'E,24°38'16.47"N 55°36'26.12"E,777.5590551150001
Negar,FARP,false,11,40R DT 704 907,29.7466 56.6938,29°44.7946'N 56°41.6259'E,29°44'47.67"N 56°41'37.56"E,6925.853018345
Point Blade,ARMYBASE,false,3,40R DN 619 055,24.4629 56.6242,24°27.7715'N 56°37.4540'E,24°27'46.29"N 56°37'27.24"E,22.965879265
Qaderabad,ROADBASE,false,11,40R DS 647 298,28.2934 56.6396,28°17.6016'N 56°38.3764'E,28°17'36.1"N 56°38'22.58"E,3576.1154855500004
Qalat,FARP,false,10,39R YL 840 879,27.8857 53.8846,27°53.1419'N 53°53.0769'E,27°53'08.51"N 53°53'04.61"E,2608.267716525
Qeshm,AIRBASE,false,7,40R CQ 910 599,26.7560 55.9037,26°45.3622'N 55°54.2238'E,26°45'21.73"N 55°54'13.43"E,16.404199475000002
Ras Al Khaimah AF,AIRBASE,false,4,40R CP 939 331,25.6120 55.9429,25°36.7213'N 55°56.5762'E,25°36'43.28"N 55°56'34.57"E,72.17847769000001
Ras al Khaimah FARP,FARP,false,4,40R DP 044 621,25.8742 56.0456,25°52.4532'N 56°02.73363'E,25°52'27.19"N 56°02'44.02"E,75.45931758500001
Rayen,FARP,false,11,40R ET 423 720,29.5774 57.4363,29°34.6452'N 57°26.1800'E,29°34'38.71"N 57°26'10.8"E,7303.149606270001
Reaper Roads,ARMYBASE,false,6,40R EP 256 936,26.1618 57.2558,26°09.70502'N 57°15.3475'E,26°09'42.3"N 57°15'20.85"E,52.49343832
Rima,ARMYBASE,false,3,40R DN 080 850,25.1782 56.0873,25°10.6893'N 56°05.24036'E,25°10'41.36"N 56°05'14.42"E,1023.62204724
Roosevelt,AIRBASE,true,1,40R CQ 821 413,26.5878 55.8157,26°35.2675'N 55°48.9415'E,26°35'16.05"N 55°48'56.49"E,0
Rudbar,FARP,false,9,40R CR 518 269,27.3571 55.5017,27°21.4237'N 55°30.1033'E,27°21'25.42"N 55°30'06.2"E,583.98950131
Shiraz,AIRBASE,false,10,39R XN 547 684,29.5360 52.5967,29°32.1579'N 52°35.8021'E,29°32'09.48"N 52°35'48.13"E,4878.608923865
Salhad,ARMYBASE,false,4,40R DP 218 600,25.8567 56.2199,25°51.3999'N 56°13.1950'E,25°51'24"N 56°13'11.7"E,1177.8215223050001
Seerik,FARP,false,6,40R EQ 092 353,26.5382 57.0920,26°32.2942'N 57°05.52143'E,26°32'17.65"N 57°05'31.29"E,32.808398950000004
Senderk,FARP,false,6,40R EP 753 942,26.1648 57.7533,26°09.89090'N 57°45.1975'E,26°09'53.45"N 57°45'11.85"E,823.490813645
Seyahu,FARP,false,9,40R DR 357 708,27.7598 56.3478,27°45.5897'N 56°20.8709'E,27°45'35.38"N 56°20'52.25"E,2116.1417322750003
Sharjah,AIRBASE,false,3,40R CP 509 028,25.3346 55.5184,25°20.0733'N 55°31.1018'E,25°20'04.4"N 55°31'06.11"E,88.582677165
Sir Abu Nuayr,AIRBASE,false,5,40R BN 207 928,25.2259 54.2282,25°13.5569'N 54°13.6901'E,25°13'33.42"N 54°13'41.41"E,52.49343832
Sirri,AIRBASE,false,5,40R BP 527 671,25.9016 54.5317,25°54.0941'N 54°31.8997'E,25°54'05.65"N 54°31'53.98"E,13.12335958
Sistan,FARP,false,7,40R DQ 272 806,26.9451 56.2662,26°56.7072'N 56°15.9691'E,26°56'42.43"N 56°15'58.15"E,131.23359580000002
Stinger Alley,ARMYBASE,false,4,40R DP 366 809,26.0458 56.3662,26°02.74710'N 56°21.9702'E,26°02'44.83"N 56°21'58.21"E,554.461942255
Tunb,AIRBASE,false,5,40R CQ 311 059,26.2631 55.3085,26°15.7879'N 55°18.5079'E,26°15'47.28"N 55°18'30.47"E,42.650918635000004
Umm Al Quwain,NAVAL,false,4,40R CP 520 236,25.5219 55.5269,25°31.3133'N 55°31.6127'E,25°31'18.8"N 55°31'36.76"E,9.842519685000001
Yaga Radar,ARMYBASE,false,1,40R BM 092 605,24.0296 54.1414,24°01.77669'N 54°08.48125'E,24°01'46.6"N 54°08'28.87"E,16.404199475000002
Zayed Military City,FARP,false,2,40R BN 982 159,24.5442 55.0074,24°32.6494'N 55°00.445349'E,24°32'38.96"N 55°00'26.72"E,272.309711285
